.;102;102;290;102;103;85;307;85;102;102;290
.;103;102;290;102;102;102;291;102;85;102;291
.;103;102;290;103;85;102;291;102;102;86;307
.;85;68;237;67;85;68;237;67;85;67;221
.;86;68;239;68;86;68;222;68;85;68;239
.;88;70;245;70;70;70;245;70;70;70;246
.;89;71;230;70;89;52;248;71;70;71;248
:;233;72;233;71;233;161;71;72;89;72;71
<;71;87;246;70;88;70;246;88;70;0;0
<;72;90;234;90;72;90;234;90;90;0;0
<;87;68;240;68;86;69;223;68;86;0;0
>;83;84;67;83;83;84;234;83;84;83;234
1;72;90;233;89;233;89;234;89;233;0;0
1;72;90;234;90;234;90;234;72;252;0;0
1;90;71;232;88;232;89;231;89;232;0;0
2;73;91;73;91;237;72;237;91;237;0;0
3;110;90;91;108;91;108;290;109;290;0;0
3;117;90;91;108;92;109;289;109;290;0;0
3;73;72;91;72;72;73;235;73;236;0;0
3;88;69;88;87;70;87;228;88;245;0;0
3;89;71;89;71;88;71;249;71;249;0;0
3;89;71;89;88;71;89;231;89;231;0;0
3;89;89;71;89;71;88;232;88;231;0;0
3;90;71;71;71;88;71;232;71;231;0;0
3;90;88;71;89;71;89;231;89;231;0;0
3;91;109;90;109;90;91;308;126;291;0;0
3;91;72;91;72;91;72;236;90;236;0;0
3;91;72;91;72;91;72;236;91;236;0;0
3;91;73;72;73;90;54;236;72;235;0;0
3;91;73;91;72;72;91;236;90;236;0;0
4;68;85;68;85;86;85;68;85;239;0;0
4;69;85;68;85;85;86;68;85;239;0;0
4;72;71;90;71;72;71;90;71;233;0;0
4;90;71;90;71;72;71;90;71;233;0;0
5;107;141;107;159;88;177;106;159;88;0;0
5;108;89;107;90;107;89;108;89;108;0;0
5;108;89;108;89;108;107;89;90;107;0;0
5;108;89;108;89;108;89;108;90;107;0;0
5;108;90;107;108;89;107;90;107;90;0;0
5;108;90;107;89;108;89;107;90;107;0;0
5;108;90;107;89;108;89;108;89;107;0;0
5;108;90;107;90;107;89;108;89;108;0;0
5;108;90;107;90;107;90;107;90;107;0;0
5;108;90;107;90;107;90;107;90;107;0;0
5;71;70;88;70;88;70;87;70;71;0;0
5;72;72;89;72;89;54;89;72;89;0;0
5;72;89;72;89;72;89;72;89;72;0;0
